beta1 beta2 st0.2 st0.5 st0.8
1 1.03284160630271 0.808081882018458 0.179397919343601 0.517232357013301 0.79083832604457
2 1.00947942732012 0.962492861205846 0.203794928815798 0.368026867815473 0.710394186136481
3 0.838990649631099 1.23277206501132 0.0729969250276962 0.465919631631779 0.857832763456613
4 0.834733060761174 1.00383299266236 0.134103292916246 0.496313057482419 0.775544749399869
5 0.792629913152157 0.997042657411183 0.027549542472565 0.312593545097407 0.793858326375098
6 1.03789458541384 0.853455479325359 0.136463380178573 0.523370550831937 0.784763573648402
7 NA NA NA NA NA
8 NA NA NA NA NA
9 NA NA NA NA NA
10 NA NA NA NA NA
11 NA NA NA NA NA
12 NA NA NA NA NA
13 NA NA NA NA NA
14 NA NA NA NA NA
15 NA NA NA NA NA
16 NA NA NA NA NA
17 NA NA NA NA NA
18 NA NA NA NA NA
19 NA NA NA NA NA
20 NA NA NA NA NA
21 NA NA NA NA NA
22 NA NA NA NA NA
23 NA NA NA NA NA
24 NA NA NA NA NA
25 NA NA NA NA NA
26 NA NA NA NA NA
27 NA NA NA NA NA
28 NA NA NA NA NA
29 NA NA NA NA NA
30 NA NA NA NA NA
31 NA NA NA NA NA
32 NA NA NA NA NA
33 NA NA NA NA NA
34 NA NA NA NA NA
35 NA NA NA NA NA
36 NA NA NA NA NA
37 NA NA NA NA NA
38 NA NA NA NA NA
39 NA NA NA NA NA
40 NA NA NA NA NA
41 NA NA NA NA NA
42 NA NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 NA NA NA NA NA
47 NA NA NA NA NA
48 NA NA NA NA NA
49 NA NA NA NA NA
50 NA NA NA NA NA
